Season,DayNum,LTeamID,LScore,WTeamID,WScore,WLoc,NumOT
2025,,1222,63,1196,65,N,0
2025,,1120,73,1196,79,N,0
2025,,1181,67,1222,70,N,0
2025,,1397,61,1222,70,N,0
2025,,1277,64,1120,70,N,0
2025,,1403,79,1196,84,N,0
2025,,1104,65,1181,85,N,0
2025,,1276,65,1120,78,N,0
2025,,1345,60,1222,62,N,0
2025,,1246,65,1397,78,N,0
2025,,1279,70,1277,73,N,0
2025,,1112,93,1181,100,N,0
2025,,1116,83,1403,85,N,0
2025,,1140,88,1104,113,N,0
2025,,1268,71,1196,87,N,0
2025,,1332,83,1112,87,N,0
2025,,1307,63,1277,71,N,0
2025,,1161,71,1268,72,N,0
2025,,1235,78,1279,91,N,0
2025,,1388,66,1104,80,N,0
2025,,1228,75,1246,84,N,0
2025,,1124,66,1181,89,N,0
2025,,1163,75,1196,77,N,0
2025,,1385,66,1116,75,N,0
2025,,1166,70,1120,82,N,0
2025,,1458,89,1140,91,N,0
2025,,1211,76,1222,81,N,0
2025,,1417,58,1397,67,N,0
2025,,1270,62,1345,76,N,0
2025,,1401,79,1276,91,N,0
2025,,1179,64,1403,77,N,0
2025,,1328,59,1163,67,N,0
2025,,1462,73,1228,86,N,0
2025,,1136,62,1277,87,N,0
2025,,1251,52,1332,81,N,0
2025,,1313,69,1196,95,N,0
2025,,1407,57,1246,76,N,0
2025,,1266,66,1307,75,N,0
2025,,1103,65,1112,93,N,0
2025,,1291,49,1181,93,N,0
2025,,1435,56,1388,59,N,0
2025,,1314,64,1279,71,N,0
2025,,1213,49,1268,81,N,0
2025,,1280,72,1124,75,N,0
2025,,1352,81,1104,90,N,0
2025,,1252,55,1235,82,N,0
2025,,1272,70,1161,78,N,0
2025,,1429,47,1417,72,N,0
2025,,1303,53,1385,83,N,0
2025,,1471,65,1276,68,N,0
2025,,1423,72,1403,82,N,0
2025,,1281,57,1179,67,N,0
2025,,1463,71,1401,80,N,0
2025,,1242,72,1116,79,N,0
2025,,1459,62,1397,77,N,0
2025,,1433,71,1140,80,N,0
2025,,1208,68,1211,89,N,0
2025,,1106,63,1120,83,N,0
2025,,1155,67,1270,69,N,0
2025,,1285,66,1458,85,N,0
2025,,1188,40,1222,78,N,0
2025,,1219,63,1345,75,N,0
2025,,1257,75,1166,89,N,0
2025,,1400,80,1462,86,N,0
2025,,1110,72,1291,83,N,0
2025,,1384,68,1106,70,N,0
2025,,1361,68,1314,95,N,0
2025,,3376,59,3163,82,N,0
2025,,3400,57,3376,74,N,0
2025,,3417,51,3163,85,N,0
2025,,3395,47,3400,58,N,0
2025,,3425,64,3163,78,N,0
2025,,3181,50,3376,54,N,0
2025,,3261,65,3417,72,N,0
2025,,3243,61,3425,67,N,0
2025,,3323,62,3395,71,N,0
2025,,3397,59,3400,67,N,0
2025,,3328,59,3163,82,N,0
2025,,3279,62,3417,76,N,0
2025,,3314,38,3181,47,N,0
2025,,3268,67,3376,71,N,0
2025,,3301,73,3261,80,N,0
2025,,3280,59,3425,96,N,0
2025,,3452,47,3314,58,N,0
2025,,3355,57,3163,91,N,0
2025,,3277,49,3301,83,N,0
2025,,3228,48,3400,65,N,0
2025,,3234,62,3328,96,N,0
2025,,3104,108,3268,111,N,0
2025,,3199,71,3261,101,N,0
2025,,3350,67,3417,84,N,0
2025,,3326,67,3397,82,N,
2025,,3124,63,3279,69,N,0
2025,,3257,70,3395,85,N,0
2025,,3332,53,3181,59,N,0
2025,,3276,55,3323,76,N,0
2025,,3246,79,3243,80,N,0
2025,,3231,53,3376,64,N,0
2025,,3166,57,3228,66,N,0
2025,,3206,59,3199,94,N,0
2025,,3456,61,3400,105,N,0
2025,,3361,48,3261,103,N,0
2025,,3329,68,3355,74,N,0
2025,,3313,69,3268,82,N,0
2025,,3217,50,3277,64,N,0
2025,,3333,49,3314,70,N,0
2025,,3143,46,3280,59,N,0
2025,,3293,57,3234,92,N,0
2025,,3117,34,3163,103,N,0
2025,,3453,67,3104,81,N,0
2025,,3162,59,3452,78,N,0
2025,,3436,55,3301,75,N,0
2025,,3195,58,3328,81,N,0
2025,,3422,25,3425,71,N,0
2025,,3250,25,3181,86,N,0
2025,,3380,46,3417,84,N,0
2025,,3435,73,3332,77,N,0
2025,,3286,51,3326,71,N,0
2025,,3304,58,3257,63,N,0
2025,,3123,65,3279,83,N,0
2025,,3210,49,3350,74,N,0
2025,,3378,66,3397,101,N,0
2025,,3193,41,3243,85,N,0
2025,,3213,60,3124,73,N,0
2025,,3192,51,3395,73,N,0
2025,,3399,48,3376,108,N,0
2025,,3235,74,3276,80,N,0
2025,,3251,78,3246,79,N,0
2025,,3428,68,3231,76,N,0
2025,,3372,54,3323,106,N,0
2025,,3219,63,3456,69,N,0
2025,,3449,60,3162,63,N,0
2025,,3471,56,3380,68,N,0
2025,,3343,63,3235,68,N,0
